geo_code,time,value,type,indicator_id
BE,2000,0.39,fellings,2.2.a.1
BE,2001,0.54,fellings,2.2.a.1
BE,2002,0.80,fellings,2.2.a.1
BE,2003,0.79,fellings,2.2.a.1
BE,2004,0.71,fellings,2.2.a.1
BE,2005,0.66,fellings,2.2.a.1
BE,2006,0.63,fellings,2.2.a.1
BE,2007,0.64,fellings,2.2.a.1
BE,2008,0.62,fellings,2.2.a.1
BE,2009,0.59,fellings,2.2.a.1
BE,2010,0.68,fellings,2.2.a.1
BE,2011,0.85,fellings,2.2.a.1
BE,2012,0.87,fellings,2.2.a.1
BE,2013,0.96,fellings,2.2.a.1
BE,2014,0.94,fellings,2.2.a.1
BE,2015,0.95,fellings,2.2.a.1
BG,2000,0.44,fellings,2.2.a.1
BG,2001,0.39,fellings,2.2.a.1
BG,2002,0.50,fellings,2.2.a.1
BG,2003,0.62,fellings,2.2.a.1
BG,2004,0.68,fellings,2.2.a.1
BG,2005,0.66,fellings,2.2.a.1
BG,2006,0.71,fellings,2.2.a.1
BG,2007,0.66,fellings,2.2.a.1
BG,2008,0.71,fellings,2.2.a.1
BG,2009,0.54,fellings,2.2.a.1
BG,2010,0.69,fellings,2.2.a.1
BG,2011,0.77,fellings,2.2.a.1
BG,2012,0.87,fellings,2.2.a.1
BG,2013,0.84,fellings,2.2.a.1
BG,2014,0.76,fellings,2.2.a.1
BG,2015,0.77,fellings,2.2.a.1
CZ,2000,0.78,fellings,2.2.a.1
CZ,2001,0.77,fellings,2.2.a.1
CZ,2002,0.78,fellings,2.2.a.1
CZ,2003,0.80,fellings,2.2.a.1
CZ,2004,0.83,fellings,2.2.a.1
CZ,2005,0.82,fellings,2.2.a.1
CZ,2006,0.92,fellings,2.2.a.1
CZ,2007,0.95,fellings,2.2.a.1
CZ,2008,0.84,fellings,2.2.a.1
CZ,2009,0.81,fellings,2.2.a.1
CZ,2010,0.86,fellings,2.2.a.1
CZ,2011,0.80,fellings,2.2.a.1
CZ,2012,0.80,fellings,2.2.a.1
CZ,2013,0.79,fellings,2.2.a.1
CZ,2014,0.80,fellings,2.2.a.1
CZ,2015,0.83,fellings,2.2.a.1
DK,2000,0.74,fellings,2.2.a.1
DK,2001,0.43,fellings,2.2.a.1
DK,2002,0.38,fellings,2.2.a.1
DK,2003,0.42,fellings,2.2.a.1
DK,2004,0.38,fellings,2.2.a.1
DK,2005,0.73,fellings,2.2.a.1
DK,2006,0.59,fellings,2.2.a.1
DK,2007,0.65,fellings,2.2.a.1
DK,2008,0.71,fellings,2.2.a.1
DK,2009,0.72,fellings,2.2.a.1
DK,2010,0.69,fellings,2.2.a.1
DK,2011,0.67,fellings,2.2.a.1
DK,2012,0.67,fellings,2.2.a.1
DK,2013,0.82,fellings,2.2.a.1
DK,2014,0.90,fellings,2.2.a.1
DK,2015,0.90,fellings,2.2.a.1
DE,2000,0.78,fellings,2.2.a.1
DE,2001,0.72,fellings,2.2.a.1
DE,2002,0.64,fellings,2.2.a.1
DE,2003,0.75,fellings,2.2.a.1
DE,2004,0.84,fellings,2.2.a.1
DE,2005,0.88,fellings,2.2.a.1
DE,2006,0.99,fellings,2.2.a.1
DE,2007,1.10,fellings,2.2.a.1
DE,2008,0.91,fellings,2.2.a.1
DE,2009,0.72,fellings,2.2.a.1
DE,2010,0.85,fellings,2.2.a.1
DE,2011,0.77,fellings,2.2.a.1
DE,2012,0.75,fellings,2.2.a.1
DE,2013,0.78,fellings,2.2.a.1
DE,2014,0.84,fellings,2.2.a.1
DE,2015,0.89,fellings,2.2.a.1
EE,2000,0.97,fellings,2.2.a.1
EE,2001,1.07,fellings,2.2.a.1
EE,2002,1.06,fellings,2.2.a.1
EE,2003,1.08,fellings,2.2.a.1
EE,2004,0.73,fellings,2.2.a.1
EE,2005,0.59,fellings,2.2.a.1
EE,2006,0.58,fellings,2.2.a.1
EE,2007,0.47,fellings,2.2.a.1
EE,2008,0.54,fellings,2.2.a.1
EE,2009,0.57,fellings,2.2.a.1
EE,2010,0.77,fellings,2.2.a.1
EE,2011,0.80,fellings,2.2.a.1
EE,2012,0.79,fellings,2.2.a.1
EE,2013,0.96,fellings,2.2.a.1
EE,2014,0.97,fellings,2.2.a.1
EE,2015,0.93,fellings,2.2.a.1
IE,2000,0.64,fellings,2.2.a.1
IE,2001,0.56,fellings,2.2.a.1
IE,2002,0.57,fellings,2.2.a.1
IE,2003,0.56,fellings,2.2.a.1
IE,2004,0.53,fellings,2.2.a.1
IE,2005,0.52,fellings,2.2.a.1
IE,2006,0.48,fellings,2.2.a.1
IE,2007,0.47,fellings,2.2.a.1
IE,2008,0.39,fellings,2.2.a.1
IE,2009,0.41,fellings,2.2.a.1
IE,2010,0.43,fellings,2.2.a.1
IE,2011,0.41,fellings,2.2.a.1
IE,2012,0.39,fellings,2.2.a.1
IE,2013,0.40,fellings,2.2.a.1
IE,2014,0.39,fellings,2.2.a.1
IE,2015,0.42,fellings,2.2.a.1
EL,2000,0.32,fellings,2.2.a.1
EL,2001,0.17,fellings,2.2.a.1
EL,2002,0.17,fellings,2.2.a.1
EL,2003,0.18,fellings,2.2.a.1
EL,2004,0.17,fellings,2.2.a.1
EL,2005,0.16,fellings,2.2.a.1
EL,2006,0.20,fellings,2.2.a.1
EL,2007,0.37,fellings,2.2.a.1
